Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
2.0,0.0,1.0,2019.0,2.0,26.0,1.0,0.0
2.0,13.7300005,1.0,2019.0,2.0,26.0,2.0,13.7300005
2.0,0.0,1.0,2019.0,2.0,26.0,3.0,13.7300005
2.0,0.0,1.0,2019.0,2.0,26.0,4.0,13.7300005
2.0,0.0,1.0,2019.0,2.0,26.0,5.0,13.7300005
2.0,0.0,1.0,2019.0,2.0,26.0,6.0,13.7300005
2.0,7.4546094,1.0,2019.0,2.0,26.0,6.9999995,21.18461
2.0,38.84452,1.0,2019.0,2.0,26.0,8.0,60.02913
2.0,45.686638,1.0,2019.0,2.0,26.0,9.0,105.71577
2.0,34.27921,1.0,2019.0,2.0,26.0,10.0,139.99498
2.0,32.295555,1.0,2019.0,2.0,26.0,11.0,172.29053
2.0,69.06988,1.0,2019.0,2.0,26.0,12.0,241.36041
2.0,54.941174,1.0,2019.0,2.0,26.0,13.0,296.30157
2.0,67.35861,1.0,2019.0,2.0,26.0,13.999999,363.66022
2.0,38.263508,1.0,2019.0,2.0,26.0,15.000001,401.9237
2.0,80.5032,1.0,2019.0,2.0,26.0,16.0,482.4269
2.0,106.85821,1.0,2019.0,2.0,26.0,17.0,589.2851
2.0,51.7828,1.0,2019.0,2.0,26.0,18.0,641.06793
2.0,33.97589,1.0,2019.0,2.0,26.0,19.0,675.0438
2.0,15.108572,1.0,2019.0,2.0,26.0,20.0,690.1524
2.0,2.077643,1.0,2019.0,2.0,26.0,21.0,692.23004
2.0,0.0,1.0,2019.0,2.0,26.0,22.0,692.23004
2.0,0.0,1.0,2019.0,2.0,26.0,23.0,692.23004
3.0,4.90875,1.0,2019.0,2.0,27.000002,0.0,4.90875
3.0,0.70124996,1.0,2019.0,2.0,27.000002,1.0,5.61
3.0,0.0,1.0,2019.0,2.0,27.000002,2.0,5.61
3.0,0.0,1.0,2019.0,2.0,27.000002,3.0,5.61
3.0,0.0,1.0,2019.0,2.0,27.000002,4.0,5.61
3.0,0.0,1.0,2019.0,2.0,27.000002,5.0,5.61
3.0,9.329,1.0,2019.0,2.0,27.000002,6.0,14.939001
3.0,32.402,1.0,2019.0,2.0,27.000002,6.9999995,47.341003
3.0,27.093777,1.0,2019.0,2.0,27.000002,8.0,74.434784
3.0,76.98251,1.0,2019.0,2.0,27.000002,9.0,151.4173
3.0,99.155716,1.0,2019.0,2.0,27.000002,10.0,250.57301
3.0,114.28433,1.0,2019.0,2.0,27.000002,11.0,364.85736
3.0,52.649742,1.0,2019.0,2.0,27.000002,12.0,417.50708
3.0,61.38906,1.0,2019.0,2.0,27.000002,13.0,478.89615
3.0,81.57444,1.0,2019.0,2.0,27.000002,13.999999,560.4706
3.0,64.98554,1.0,2019.0,2.0,27.000002,15.000001,625.4561
3.0,94.9459,1.0,2019.0,2.0,27.000002,16.0,720.40204
3.0,81.2379,1.0,2019.0,2.0,27.000002,17.0,801.63995
3.0,49.157063,1.0,2019.0,2.0,27.000002,18.0,850.797
3.0,42.294147,1.0,2019.0,2.0,27.000002,19.0,893.0911
3.0,32.810143,1.0,2019.0,2.0,27.000002,20.0,925.9013
3.0,12.692074,1.0,2019.0,2.0,27.000002,21.0,938.5934
3.0,1.2420732,1.0,2019.0,2.0,27.000002,22.0,939.83545
3.0,1.2420732,1.0,2019.0,2.0,27.000002,23.0,941.0775
4.0,1.2420732,1.0,2019.0,2.0,28.0,0.0,1.2420732
4.0,1.2420732,1.0,2019.0,2.0,28.0,1.0,2.4841464
4.0,1.2420732,1.0,2019.0,2.0,28.0,2.0,3.7262197
4.0,1.2420732,1.0,2019.0,2.0,28.0,3.0,4.9682927
4.0,1.2420732,1.0,2019.0,2.0,28.0,4.0,6.210366
4.0,1.2420732,1.0,2019.0,2.0,28.0,5.0,7.4524393
4.0,0.82804877,1.0,2019.0,2.0,28.0,6.0,8.280488
4.0,18.31,1.0,2019.0,2.0,28.0,6.9999995,26.590488
4.0,12.890734,1.0,2019.0,2.0,28.0,8.0,39.48122
4.0,29.015045,1.0,2019.0,2.0,28.0,9.0,68.49626
4.0,31.542742,1.0,2019.0,2.0,28.0,10.0,100.03901
4.0,116.68762,1.0,2019.0,2.0,28.0,11.0,216.72662
4.0,66.51528,1.0,2019.0,2.0,28.0,12.0,283.2419
4.0,106.8512,1.0,2019.0,2.0,28.0,13.0,390.0931
4.0,124.59606,1.0,2019.0,2.0,28.0,13.999999,514.68915
4.0,37.270103,1.0,2019.0,2.0,28.0,15.000001,551.9593
4.0,105.45232,1.0,2019.0,2.0,28.0,16.0,657.4116
4.0,88.26545,1.0,2019.0,2.0,28.0,17.0,745.67706
4.0,63.757023,1.0,2019.0,2.0,28.0,18.0,809.4341
4.0,130.20143,1.0,2019.0,2.0,28.0,19.0,939.6355
4.0,48.072906,1.0,2019.0,2.0,28.0,20.0,987.7084
4.0,48.68708,1.0,2019.0,2.0,28.0,21.0,1036.3955
4.0,0.0,1.0,2019.0,2.0,28.0,22.0,1036.3955
4.0,0.0,1.0,2019.0,2.0,28.0,23.0,1036.3955
5.0,0.0,1.0,2019.0,3.0,1.0,0.0,0.0
5.0,0.0,1.0,2019.0,3.0,1.0,1.0,0.0
5.0,0.0,1.0,2019.0,3.0,1.0,2.0,0.0
5.0,0.0,1.0,2019.0,3.0,1.0,3.0,0.0
5.0,0.0,1.0,2019.0,3.0,1.0,4.0,0.0
5.0,15.009999,1.0,2019.0,3.0,1.0,5.0,15.009999
5.0,10.601136,1.0,2019.0,3.0,1.0,6.0,25.611135
5.0,30.828747,1.0,2019.0,3.0,1.0,6.9999995,56.43988
5.0,19.268187,1.0,2019.0,3.0,1.0,8.0,75.70807
5.0,15.453156,1.0,2019.0,3.0,1.0,9.0,91.161224
5.0,40.59951,1.0,2019.0,3.0,1.0,10.0,131.76074
5.0,73.67024,1.0,2019.0,3.0,1.0,11.0,205.43097
5.0,80.655334,1.0,2019.0,3.0,1.0,12.0,286.0863
5.0,98.17539,1.0,2019.0,3.0,1.0,13.0,384.26172
5.0,75.79223,1.0,2019.0,3.0,1.0,13.999999,460.05392
5.0,86.925125,1.0,2019.0,3.0,1.0,15.000001,546.97906
5.0,87.462685,1.0,2019.0,3.0,1.0,16.0,634.4418
5.0,40.83817,1.0,2019.0,3.0,1.0,17.0,675.2799
5.0,46.631863,1.0,2019.0,3.0,1.0,18.0,721.91174
5.0,31.656216,1.0,2019.0,3.0,1.0,19.0,753.568
5.0,22.24,1.0,2019.0,3.0,1.0,20.0,775.808
5.0,0.8478293,1.0,2019.0,3.0,1.0,21.0,776.6558
5.0,10.739171,1.0,2019.0,3.0,1.0,22.0,787.395
5.0,0.0,1.0,2019.0,3.0,1.0,23.0,787.395
6.0,0.0,0.0,2019.0,3.0,2.0,0.0,0.0
6.0,13.65,0.0,2019.0,3.0,2.0,1.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,2.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,3.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,4.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,5.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,6.0,13.65
6.0,0.0,0.0,2019.0,3.0,2.0,6.9999995,13.65
6.0,4.243856,0.0,2019.0,3.0,2.0,8.0,17.893856
6.0,31.346565,0.0,2019.0,3.0,2.0,9.0,49.24042
6.0,26.340292,0.0,2019.0,3.0,2.0,10.0,75.58071
6.0,48.516228,0.0,2019.0,3.0,2.0,11.0,124.09694
6.0,67.2439,0.0,2019.0,3.0,2.0,12.0,191.34084
6.0,65.90198,0.0,2019.0,3.0,2.0,13.0,257.2428
6.0,86.33452,0.0,2019.0,3.0,2.0,13.999999,343.57733
6.0,101.279205,0.0,2019.0,3.0,2.0,15.000001,444.85654
6.0,89.60358,0.0,2019.0,3.0,2.0,16.0,534.4601
6.0,28.17734,0.0,2019.0,3.0,2.0,17.0,562.63745
6.0,32.486694,0.0,2019.0,3.0,2.0,18.0,595.12415
6.0,32.213852,0.0,2019.0,3.0,2.0,19.0,627.338
6.0,16.85,0.0,2019.0,3.0,2.0,20.0,644.188
6.0,9.46,0.0,2019.0,3.0,2.0,21.0,653.648
6.0,0.0,0.0,2019.0,3.0,2.0,22.0,653.648
6.0,0.0,0.0,2019.0,3.0,2.0,23.0,653.648
7.0,0.0,0.0,2019.0,3.0,3.0,0.0,0.0
7.0,11.97,0.0,2019.0,3.0,3.0,1.0,11.97
7.0,0.0,0.0,2019.0,3.0,3.0,2.0,11.97
7.0,0.0,0.0,2019.0,3.0,3.0,3.0,11.97
7.0,0.0,0.0,2019.0,3.0,3.0,4.0,11.97
7.0,0.0,0.0,2019.0,3.0,3.0,5.0,11.97
7.0,0.0,0.0,2019.0,3.0,3.0,6.0,11.97
7.0,19.289999,0.0,2019.0,3.0,3.0,6.9999995,31.259998
7.0,6.97,0.0,2019.0,3.0,3.0,8.0,38.23
7.0,28.727896,0.0,2019.0,3.0,3.0,9.0,66.95789
7.0,55.715034,0.0,2019.0,3.0,3.0,10.0,122.67293
7.0,96.805374,0.0,2019.0,3.0,3.0,11.0,219.4783
7.0,117.29586,0.0,2019.0,3.0,3.0,12.0,336.77417
7.0,90.6123,0.0,2019.0,3.0,3.0,13.0,427.38647
7.0,42.06485,0.0,2019.0,3.0,3.0,13.999999,469.4513
7.0,59.274696,0.0,2019.0,3.0,3.0,15.000001,528.726
7.0,67.43196,0.0,2019.0,3.0,3.0,16.0,596.15796
7.0,79.13308,0.0,2019.0,3.0,3.0,17.0,675.291
7.0,54.21942,0.0,2019.0,3.0,3.0,18.0,729.5105
7.0,13.14752,0.0,2019.0,3.0,3.0,19.0,742.65796
7.0,20.746857,0.0,2019.0,3.0,3.0,20.0,763.40485
7.0,30.92971,0.0,2019.0,3.0,3.0,21.0,794.33453
7.0,4.616434,0.0,2019.0,3.0,3.0,22.0,798.951
7.0,0.0,0.0,2019.0,3.0,3.0,23.0,798.951
1.0,0.0,1.0,2019.0,3.0,4.0,0.0,0.0
1.0,15.12,1.0,2019.0,3.0,4.0,1.0,15.12
1.0,0.0,1.0,2019.0,3.0,4.0,2.0,15.12
1.0,0.0,1.0,2019.0,3.0,4.0,3.0,15.12
1.0,0.0,1.0,2019.0,3.0,4.0,4.0,15.12
1.0,12.91,1.0,2019.0,3.0,4.0,5.0,28.029999
1.0,5.3055897,1.0,2019.0,3.0,4.0,6.0,33.33559
1.0,8.607949,1.0,2019.0,3.0,4.0,6.9999995,41.94354
1.0,22.63826,1.0,2019.0,3.0,4.0,8.0,64.5818
1.0,53.530663,1.0,2019.0,3.0,4.0,9.0,118.11246
1.0,58.21878,1.0,2019.0,3.0,4.0,10.0,176.33124
1.0,24.932526,1.0,2019.0,3.0,4.0,11.0,201.26376
1.0,116.28429,1.0,2019.0,3.0,4.0,12.0,317.54803
1.0,101.87569,1.0,2019.0,3.0,4.0,13.0,419.42374
1.0,107.97843,1.0,2019.0,3.0,4.0,13.999999,527.40216
1.0,98.64167,1.0,2019.0,3.0,4.0,15.000001,626.0438
1.0,36.147957,1.0,2019.0,3.0,4.0,16.0,662.1918
1.0,46.254787,1.0,2019.0,3.0,4.0,17.0,708.4466
1.0,98.00841,1.0,2019.0,3.0,4.0,18.0,806.45496
1.0,60.824684,1.0,2019.0,3.0,4.0,19.0,867.27966
1.0,26.533005,1.0,2019.0,3.0,4.0,20.0,893.8127
1.0,9.582304,1.0,2019.0,3.0,4.0,21.0,903.39496
1.0,0.0,1.0,2019.0,3.0,4.0,22.0,903.39496
1.0,0.0,1.0,2019.0,3.0,4.0,23.0,903.39496
2.0,2.0486112,1.0,2019.0,3.0,5.0,0.0,2.0486112
2.0,2.0833335,1.0,2019.0,3.0,5.0,1.0,4.1319447
2.0,2.0833335,1.0,2019.0,3.0,5.0,2.0,6.215278
2.0,2.0833335,1.0,2019.0,3.0,5.0,3.0,8.298612
2.0,2.0833335,1.0,2019.0,3.0,5.0,4.0,10.381945
2.0,2.9328098,1.0,2019.0,3.0,5.0,5.0,13.3147545
2.0,21.518597,1.0,2019.0,3.0,5.0,6.0,34.83335
2.0,14.536875,1.0,2019.0,3.0,5.0,6.9999995,49.370224
2.0,10.1743965,1.0,2019.0,3.0,5.0,8.0,59.544624
2.0,15.301315,1.0,2019.0,3.0,5.0,9.0,74.84594
2.0,53.95686,1.0,2019.0,3.0,5.0,10.0,128.8028
2.0,81.81394,1.0,2019.0,3.0,5.0,11.0,210.61673
2.0,87.60121,1.0,2019.0,3.0,5.0,12.0,298.21796
2.0,86.64695,1.0,2019.0,3.0,5.0,13.0,384.8649
2.0,48.46439,1.0,2019.0,3.0,5.0,13.999999,433.32928
2.0,71.2407,1.0,2019.0,3.0,5.0,15.000001,504.57
2.0,110.70632,1.0,2019.0,3.0,5.0,16.0,615.2763
2.0,135.47748,1.0,2019.0,3.0,5.0,17.0,750.7538
2.0,81.35594,1.0,2019.0,3.0,5.0,18.0,832.10974
2.0,45.82003,1.0,2019.0,3.0,5.0,19.0,877.92975
2.0,36.09487,1.0,2019.0,3.0,5.0,20.0,914.02466
2.0,5.8733625,1.0,2019.0,3.0,5.0,21.0,919.898
2.0,12.09,1.0,2019.0,3.0,5.0,22.0,931.988
2.0,0.0,1.0,2019.0,3.0,5.0,23.0,931.988
3.0,0.0,1.0,2019.0,3.0,6.0,0.0,0.0
3.0,0.0,1.0,2019.0,3.0,6.0,1.0,0.0
3.0,6.325,1.0,2019.0,3.0,6.0,2.0,6.325
3.0,0.0,1.0,2019.0,3.0,6.0,3.0,6.325
3.0,0.030833334,1.0,2019.0,3.0,6.0,4.0,6.355833
3.0,0.925,1.0,2019.0,3.0,6.0,5.0,7.2808332
3.0,28.395714,1.0,2019.0,3.0,6.0,6.0,35.676548
3.0,40.84319,1.0,2019.0,3.0,6.0,6.9999995,76.51974
3.0,29.12192,1.0,2019.0,3.0,6.0,8.0,105.641655
3.0,17.702347,1.0,2019.0,3.0,6.0,9.0,123.344
3.0,30.574343,1.0,2019.0,3.0,6.0,10.0,153.91835
3.0,81.6867,1.0,2019.0,3.0,6.0,11.0,235.60504
3.0,73.71569,1.0,2019.0,3.0,6.0,12.0,309.32074
3.0,81.10484,1.0,2019.0,3.0,6.0,13.0,390.42557
3.0,83.07776,1.0,2019.0,3.0,6.0,13.999999,473.50333
3.0,73.460014,1.0,2019.0,3.0,6.0,15.000001,546.9634
3.0,49.83272,1.0,2019.0,3.0,6.0,16.0,596.7961
3.0,104.79409,1.0,2019.0,3.0,6.0,17.0,701.59015
3.0,53.91057,1.0,2019.0,3.0,6.0,18.0,755.50073
3.0,39.5036,1.0,2019.0,3.0,6.0,19.0,795.00433
3.0,31.171368,1.0,2019.0,3.0,6.0,20.0,826.1757
3.0,18.445293,1.0,2019.0,3.0,6.0,21.0,844.621
3.0,0.0,1.0,2019.0,3.0,6.0,22.0,844.621
3.0,0.0,1.0,2019.0,3.0,6.0,23.0,844.621
4.0,0.0,1.0,2019.0,3.0,7.0,0.0,0.0
4.0,0.0,1.0,2019.0,3.0,7.0,1.0,0.0
4.0,5.286316,1.0,2019.0,3.0,7.0,2.0,5.286316
4.0,17.033684,1.0,2019.0,3.0,7.0,3.0,22.32
4.0,0.0,1.0,2019.0,3.0,7.0,4.0,22.32
4.0,7.0,1.0,2019.0,3.0,7.0,5.0,29.32
4.0,12.7,1.0,2019.0,3.0,7.0,6.0,42.02
4.0,0.0,1.0,2019.0,3.0,7.0,6.9999995,42.02
4.0,23.809729,1.0,2019.0,3.0,7.0,8.0,65.82973
4.0,9.250147,1.0,2019.0,3.0,7.0,9.0,75.07987
4.0,26.455605,1.0,2019.0,3.0,7.0,10.0,101.53548
4.0,26.437294,1.0,2019.0,3.0,7.0,11.0,127.97277
4.0,72.51876,1.0,2019.0,3.0,7.0,12.0,200.49153
4.0,42.49493,1.0,2019.0,3.0,7.0,13.0,242.98647
4.0,94.737946,1.0,2019.0,3.0,7.0,13.999999,337.72443
4.0,90.61349,1.0,2019.0,3.0,7.0,15.000001,428.3379
4.0,56.645103,1.0,2019.0,3.0,7.0,16.0,484.983
4.0,69.302956,1.0,2019.0,3.0,7.0,17.0,554.28595
4.0,63.70484,1.0,2019.0,3.0,7.0,18.0,617.9908
4.0,59.784004,1.0,2019.0,3.0,7.0,19.0,677.7748
4.0,22.955286,1.0,2019.0,3.0,7.0,20.0,700.7301
4.0,6.336914,1.0,2019.0,3.0,7.0,21.0,707.067
4.0,0.0,1.0,2019.0,3.0,7.0,22.0,707.067
4.0,0.0,1.0,2019.0,3.0,7.0,23.0,707.067
5.0,0.0,1.0,2019.0,3.0,8.0,0.0,0.0
5.0,0.0,1.0,2019.0,3.0,8.0,1.0,0.0
5.0,7.6764708,1.0,2019.0,3.0,8.0,2.0,7.6764708
5.0,1.0235294,1.0,2019.0,3.0,8.0,3.0,8.7
5.0,0.0,1.0,2019.0,3.0,8.0,4.0,8.7
5.0,0.0,1.0,2019.0,3.0,8.0,5.0,8.7
5.0,2.9599998,1.0,2019.0,3.0,8.0,6.0,11.66
5.0,0.0,1.0,2019.0,3.0,8.0,6.9999995,11.66
5.0,41.67611,1.0,2019.0,3.0,8.0,8.0,53.33611
5.0,97.457634,1.0,2019.0,3.0,8.0,9.0,150.79375
5.0,102.26974,1.0,2019.0,3.0,8.0,10.0,253.06348
5.0,99.95886,1.0,2019.0,3.0,8.0,11.0,353.02234
5.0,82.18197,1.0,2019.0,3.0,8.0,12.0,435.2043
5.0,91.27828,1.0,2019.0,3.0,8.0,13.0,526.4826
5.0,84.67035,1.0,2019.0,3.0,8.0,13.999999,611.15295
5.0,91.54756,1.0,2019.0,3.0,8.0,15.000001,702.7005
5.0,74.14805,1.0,2019.0,3.0,8.0,16.0,776.8486
5.0,59.13006,1.0,2019.0,3.0,8.0,17.0,835.97864
5.0,47.036556,1.0,2019.0,3.0,8.0,18.0,883.01514
5.0,39.57683,1.0,2019.0,3.0,8.0,19.0,922.592
5.0,27.65626,1.0,2019.0,3.0,8.0,20.0,950.2482
5.0,31.613922,1.0,2019.0,3.0,8.0,21.0,981.8622
5.0,28.66882,1.0,2019.0,3.0,8.0,22.0,1010.531
5.0,29.911001,1.0,2019.0,3.0,8.0,23.0,1040.442
6.0,0.0,0.0,2019.0,3.0,9.0,0.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,1.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,2.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,3.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,4.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,5.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,6.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,6.9999995,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,8.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,9.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,10.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,11.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,12.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,13.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,13.999999,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,15.000001,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,16.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,17.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,18.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,19.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,20.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,21.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,22.0,0.0
6.0,0.0,0.0,2019.0,3.0,9.0,23.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,0.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,1.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,2.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,3.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,4.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,5.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,6.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,6.9999995,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,8.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,9.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,10.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,11.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,12.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,13.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,13.999999,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,15.000001,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,16.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,17.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,18.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,19.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,20.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,21.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,22.0,0.0
7.0,0.0,0.0,2019.0,3.0,10.0,23.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,0.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,1.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,2.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,3.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,4.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,5.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,6.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,6.9999995,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,8.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,9.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,10.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,11.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,12.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,13.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,13.999999,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,15.000001,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,16.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,17.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,18.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,19.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,20.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,21.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,22.0,0.0
1.0,0.0,1.0,2019.0,3.0,11.0,23.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,0.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,1.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,2.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,3.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,4.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,5.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,6.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,6.9999995,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,8.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,9.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,10.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,11.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,12.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,13.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,13.999999,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,15.000001,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,16.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,17.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,18.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,19.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,20.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,21.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,22.0,0.0
2.0,0.0,1.0,2019.0,3.0,12.0,23.0,0.0
3.0,3.99,1.0,2019.0,3.0,13.0,0.0,3.99
3.0,16.529999,1.0,2019.0,3.0,13.0,1.0,20.519999
3.0,0.0,1.0,2019.0,3.0,13.0,2.0,20.519999
3.0,0.0,1.0,2019.0,3.0,13.0,3.0,20.519999
3.0,0.0,1.0,2019.0,3.0,13.0,4.0,20.519999
3.0,0.85098517,1.0,2019.0,3.0,13.0,5.0,21.370983
3.0,19.485699,1.0,2019.0,3.0,13.0,6.0,40.85668
3.0,19.218987,1.0,2019.0,3.0,13.0,6.9999995,60.07567
3.0,15.873801,1.0,2019.0,3.0,13.0,8.0,75.94947
3.0,43.68217,1.0,2019.0,3.0,13.0,9.0,119.63164
3.0,47.083282,1.0,2019.0,3.0,13.0,10.0,166.71492
3.0,58.789783,1.0,2019.0,3.0,13.0,11.0,225.5047
3.0,70.17745,1.0,2019.0,3.0,13.0,12.0,295.68216
3.0,103.46347,1.0,2019.0,3.0,13.0,13.0,399.14563
3.0,89.21524,1.0,2019.0,3.0,13.0,13.999999,488.36087
3.0,55.67897,1.0,2019.0,3.0,13.0,15.000001,544.03986
3.0,60.50547,1.0,2019.0,3.0,13.0,16.0,604.5453
3.0,53.51935,1.0,2019.0,3.0,13.0,17.0,658.06464
3.0,42.060757,1.0,2019.0,3.0,13.0,18.0,700.1254
3.0,107.06297,1.0,2019.0,3.0,13.0,19.0,807.18835
3.0,35.997818,1.0,2019.0,3.0,13.0,20.0,843.1862
3.0,10.437931,1.0,2019.0,3.0,13.0,21.0,853.62415
3.0,13.88913,1.0,2019.0,3.0,13.0,22.0,867.51324
3.0,11.721739,1.0,2019.0,3.0,13.0,23.0,879.235
4.0,0.0,1.0,2019.0,3.0,14.0,0.0,0.0
4.0,0.0,1.0,2019.0,3.0,14.0,1.0,0.0
4.0,0.0,1.0,2019.0,3.0,14.0,2.0,0.0
4.0,0.0,1.0,2019.0,3.0,14.0,3.0,0.0
4.0,0.0,1.0,2019.0,3.0,14.0,4.0,0.0
4.0,1.1327055,1.0,2019.0,3.0,14.0,5.0,1.1327055
4.0,1.3869864,1.0,2019.0,3.0,14.0,6.0,2.519692
4.0,1.3869864,1.0,2019.0,3.0,14.0,6.9999995,3.9066782
4.0,32.377964,1.0,2019.0,3.0,14.0,8.0,36.28464
4.0,41.227715,1.0,2019.0,3.0,14.0,9.0,77.51236
4.0,71.33793,1.0,2019.0,3.0,14.0,10.0,148.85028
4.0,59.15715,1.0,2019.0,3.0,14.0,11.0,208.00743
4.0,84.65061,1.0,2019.0,3.0,14.0,12.0,292.65805
4.0,13.0261755,1.0,2019.0,3.0,14.0,13.0,305.6842
4.0,70.9241,1.0,2019.0,3.0,14.0,13.999999,376.60834
4.0,76.15604,1.0,2019.0,3.0,14.0,15.000001,452.76434
4.0,54.80636,1.0,2019.0,3.0,14.0,16.0,507.5707
4.0,49.697178,1.0,2019.0,3.0,14.0,17.0,557.2679
4.0,40.269,1.0,2019.0,3.0,14.0,18.0,597.53687
4.0,59.789253,1.0,2019.0,3.0,14.0,19.0,657.3262
4.0,21.477404,1.0,2019.0,3.0,14.0,20.0,678.8035
4.0,20.423552,1.0,2019.0,3.0,14.0,21.0,699.2271
