Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2020.0,3.0,1.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,7.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,8.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,9.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,10.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,11.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,12.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,13.0,0.0
7.0,0.3135097719869701,0.0,2020.0,3.0,1.0,14.0,0.3135097719869701
7.0,0.3135097719869701,0.0,2020.0,3.0,1.0,15.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,16.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,17.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,18.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,19.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,20.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,21.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,22.0,0.6270195439739402
7.0,0.0,0.0,2020.0,3.0,1.0,23.0,0.6270195439739402
1.0,0.0,1.0,2020.0,3.0,2.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,3.0,0.0
1.0,1.511458015733505,1.0,2020.0,3.0,2.0,4.0,1.511458015733505
1.0,8.153721342991942,1.0,2020.0,3.0,2.0,5.0,9.665179358725446
1.0,28.80885529473168,1.0,2020.0,3.0,2.0,6.0,38.474034653457124
1.0,16.612270742863792,1.0,2020.0,3.0,2.0,7.0,55.08630539632092
1.0,44.542478655309914,1.0,2020.0,3.0,2.0,8.0,99.62878405163083
1.0,76.47232139679654,1.0,2020.0,3.0,2.0,9.0,176.10110544842738
1.0,74.26411292139993,1.0,2020.0,3.0,2.0,10.0,250.3652183698273
1.0,66.07847893855772,1.0,2020.0,3.0,2.0,11.0,316.443697308385
1.0,39.442083726512486,1.0,2020.0,3.0,2.0,12.0,355.8857810348975
1.0,38.018542592262826,1.0,2020.0,3.0,2.0,13.0,393.90432362716035
1.0,56.86926836065895,1.0,2020.0,3.0,2.0,14.0,450.77359198781926
1.0,12.08656353470083,1.0,2020.0,3.0,2.0,15.0,462.86015552252013
1.0,56.14469796074913,1.0,2020.0,3.0,2.0,16.0,519.0048534832692
1.0,34.92452499054066,1.0,2020.0,3.0,2.0,17.0,553.92937847381
1.0,2.3690676545536213,1.0,2020.0,3.0,2.0,18.0,556.2984461283635
1.0,0.0,1.0,2020.0,3.0,2.0,19.0,556.2984461283635
1.0,2.3690676545536213,1.0,2020.0,3.0,2.0,20.0,558.6675137829171
1.0,2.3690676545536213,1.0,2020.0,3.0,2.0,21.0,561.0365814374708
1.0,1.6802076993304982,1.0,2020.0,3.0,2.0,22.0,562.7167891368013
1.0,2.9870359099208854,1.0,2020.0,3.0,2.0,23.0,565.7038250467222
2.0,0.0,1.0,2020.0,3.0,3.0,0.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,1.0,0.0
2.0,0.0,1.0,2020.0,3.0,3.0,2.0,0.0
2.0,0.37786450393337623,1.0,2020.0,3.0,3.0,3.0,0.37786450393337623
2.0,2.1001391655920054,1.0,2020.0,3.0,3.0,4.0,2.4780036695253815
2.0,11.834395230926036,1.0,2020.0,3.0,3.0,5.0,14.312398900451418
2.0,51.98018024224916,1.0,2020.0,3.0,3.0,6.0,66.29257914270057
2.0,103.60485184000235,1.0,2020.0,3.0,3.0,7.0,169.89743098270293
2.0,125.09699803341964,1.0,2020.0,3.0,3.0,8.0,294.9944290161226
2.0,95.88187912563501,1.0,2020.0,3.0,3.0,9.0,390.8763081417576
2.0,72.45706942259794,1.0,2020.0,3.0,3.0,10.0,463.33337756435554
2.0,49.37152462571086,1.0,2020.0,3.0,3.0,11.0,512.7049021900664
2.0,24.058615488074093,1.0,2020.0,3.0,3.0,12.0,536.7635176781405
2.0,20.09995380205828,1.0,2020.0,3.0,3.0,13.0,556.8634714801988
2.0,23.2255797614778,1.0,2020.0,3.0,3.0,14.0,580.0890512416765
2.0,40.35610010955793,1.0,2020.0,3.0,3.0,15.0,620.4451513512345
2.0,48.11314652438969,1.0,2020.0,3.0,3.0,16.0,668.5582978756241
2.0,12.08656353470083,1.0,2020.0,3.0,3.0,17.0,680.644861410325
2.0,9.54879049897232,1.0,2020.0,3.0,3.0,18.0,690.1936519092974
2.0,0.2836692132975258,1.0,2020.0,3.0,3.0,19.0,690.4773211225948
2.0,0.1959271124790148,1.0,2020.0,3.0,3.0,20.0,690.6732482350739
2.0,6.962084926857859,1.0,2020.0,3.0,3.0,21.0,697.6353331619317
2.0,1.032172821274536,1.0,2020.0,3.0,3.0,22.0,698.6675059832063
2.0,3.6490949593216033,1.0,2020.0,3.0,3.0,23.0,702.3166009425279
3.0,0.0,1.0,2020.0,3.0,4.0,0.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,1.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,2.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,3.0,0.0
3.0,1.9065363272352296,1.0,2020.0,3.0,4.0,4.0,1.9065363272352296
3.0,9.13057299886336,1.0,2020.0,3.0,4.0,5.0,11.03710932609859
3.0,30.29543809067752,1.0,2020.0,3.0,4.0,6.0,41.33254741677611
3.0,79.36839128447653,1.0,2020.0,3.0,4.0,7.0,120.70093870125264
3.0,111.04173900749257,1.0,2020.0,3.0,4.0,8.0,231.7426777087452
3.0,110.862373397781,1.0,2020.0,3.0,4.0,9.0,342.6050511065262
3.0,95.78524800001126,1.0,2020.0,3.0,4.0,10.0,438.39029910653744
3.0,62.96033512680151,1.0,2020.0,3.0,4.0,11.0,501.35063423333895
3.0,50.63788832968464,1.0,2020.0,3.0,4.0,12.0,551.9885225630236
3.0,41.03221707995797,1.0,2020.0,3.0,4.0,13.0,593.0207396429815
3.0,36.890388004518414,1.0,2020.0,3.0,4.0,14.0,629.9111276475
3.0,53.63977062095936,1.0,2020.0,3.0,4.0,15.0,683.5508982684594
3.0,22.09530731160832,1.0,2020.0,3.0,4.0,16.0,705.6462055800677
3.0,42.943156802236366,1.0,2020.0,3.0,4.0,17.0,748.589362382304
3.0,25.66125199201673,1.0,2020.0,3.0,4.0,18.0,774.2506143743208
3.0,15.373896186047087,1.0,2020.0,3.0,4.0,19.0,789.6245105603679
3.0,5.957309353462142,1.0,2020.0,3.0,4.0,20.0,795.58181991383
3.0,2.063929080904829,1.0,2020.0,3.0,4.0,21.0,797.6457489947348
3.0,2.7784286134694884,1.0,2020.0,3.0,4.0,22.0,800.4241776082043
3.0,11.143977423469519,1.0,2020.0,3.0,4.0,23.0,811.5681550316739
4.0,0.8731732205350855,1.0,2020.0,3.0,5.0,0.0,0.8731732205350855
4.0,1.315181475443256,1.0,2020.0,3.0,5.0,1.0,2.1883546959783415
4.0,0.9084657795385743,1.0,2020.0,3.0,5.0,2.0,3.0968204755169157
4.0,0.0,1.0,2020.0,3.0,5.0,3.0,3.0968204755169157
4.0,0.4121453154758118,1.0,2020.0,3.0,5.0,4.0,3.5089657909927277
4.0,8.966561796349751,1.0,2020.0,3.0,5.0,5.0,12.475527587342478
4.0,31.850729749997345,1.0,2020.0,3.0,5.0,6.0,44.326257337339825
4.0,84.35361069669541,1.0,2020.0,3.0,5.0,7.0,128.67986803403522
4.0,40.87119487931731,1.0,2020.0,3.0,5.0,8.0,169.55106291335255
4.0,102.38503323287505,1.0,2020.0,3.0,5.0,9.0,271.93609614622756
4.0,78.20043626222359,1.0,2020.0,3.0,5.0,10.0,350.13653240845116
4.0,66.10053136768373,1.0,2020.0,3.0,5.0,11.0,416.2370637761349
4.0,50.63788832968464,1.0,2020.0,3.0,5.0,12.0,466.87495210581955
4.0,43.41826632866641,1.0,2020.0,3.0,5.0,13.0,510.29321843448594
4.0,42.25372231631858,1.0,2020.0,3.0,5.0,14.0,552.5469407508045
4.0,40.59655722235591,1.0,2020.0,3.0,5.0,15.0,593.1434979731605
4.0,27.012825108347105,1.0,2020.0,3.0,5.0,16.0,620.1563230815076
4.0,32.820560559898546,1.0,2020.0,3.0,5.0,17.0,652.9768836414061
4.0,23.719648422333293,1.0,2020.0,3.0,5.0,18.0,676.6965320637394
4.0,14.156553105809415,1.0,2020.0,3.0,5.0,19.0,690.8530851695488
4.0,0.2894966383231525,1.0,2020.0,3.0,5.0,20.0,691.1425818078719
4.0,4.523786175863543,1.0,2020.0,3.0,5.0,21.0,695.6663679837355
4.0,0.0,1.0,2020.0,3.0,5.0,22.0,695.6663679837355
4.0,4.523786175863543,1.0,2020.0,3.0,5.0,23.0,700.190154159599
5.0,0.0,1.0,2020.0,3.0,6.0,0.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,1.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,2.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,3.0,0.0
5.0,1.3084217649572816,1.0,2020.0,3.0,6.0,4.0,1.3084217649572816
5.0,6.03359808258441,1.0,2020.0,3.0,6.0,5.0,7.342019847541692
5.0,35.64629856721388,1.0,2020.0,3.0,6.0,6.0,42.988318414755575
5.0,90.02193577938422,1.0,2020.0,3.0,6.0,7.0,133.0102541941398
5.0,131.35583522051536,1.0,2020.0,3.0,6.0,8.0,264.36608941465516
5.0,113.63636698373436,1.0,2020.0,3.0,6.0,9.0,378.00245639838954
5.0,74.26411292139993,1.0,2020.0,3.0,6.0,10.0,452.2665693197895
5.0,70.74592934053254,1.0,2020.0,3.0,6.0,11.0,523.012498660322
5.0,44.90519748083245,1.0,2020.0,3.0,6.0,12.0,567.9176961411545
5.0,40.10607283671819,1.0,2020.0,3.0,6.0,13.0,608.0237689778726
5.0,56.86926836065895,1.0,2020.0,3.0,6.0,14.0,664.8930373385316
5.0,31.99726638839509,1.0,2020.0,3.0,6.0,15.0,696.8903037269267
5.0,45.23438187257977,1.0,2020.0,3.0,6.0,16.0,742.1246855995064
5.0,10.449153208844239,1.0,2020.0,3.0,6.0,17.0,752.5738388083507
5.0,24.71316849641657,1.0,2020.0,3.0,6.0,18.0,777.2870073047673
5.0,4.809027008963103,1.0,2020.0,3.0,6.0,19.0,782.0960343137303
5.0,2.369067654553622,1.0,2020.0,3.0,6.0,20.0,784.465101968284
5.0,9.536044814861157,1.0,2020.0,3.0,6.0,21.0,794.0011467831451
5.0,4.934317454774855,1.0,2020.0,3.0,6.0,22.0,798.93546423792
5.0,4.934317454774855,1.0,2020.0,3.0,6.0,23.0,803.8697816926948
6.0,0.0,0.0,2020.0,3.0,7.0,0.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,1.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,2.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,3.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,4.0,0.0
6.0,2.9150054171180853,0.0,2020.0,3.0,7.0,5.0,2.9150054171180853
6.0,2.4275517334778,0.0,2020.0,3.0,7.0,6.0,5.342557150595885
6.0,5.038626609442069,0.0,2020.0,3.0,7.0,7.0,10.381183760037954
6.0,4.286904583306905,0.0,2020.0,3.0,7.0,8.0,14.66808834334486
6.0,14.166081694547277,0.0,2020.0,3.0,7.0,9.0,28.834170037892136
6.0,15.998918848911817,0.0,2020.0,3.0,7.0,10.0,44.83308888680395
6.0,11.696585023057938,0.0,2020.0,3.0,7.0,11.0,56.52967390986189
6.0,0.0,0.0,2020.0,3.0,7.0,12.0,56.52967390986189
6.0,11.99714913983036,0.0,2020.0,3.0,7.0,13.0,68.52682304969225
6.0,4.452695439036689,0.0,2020.0,3.0,7.0,14.0,72.97951848872894
6.0,3.0876488542054243,0.0,2020.0,3.0,7.0,15.0,76.06716734293437
6.0,1.5733580220019625,0.0,2020.0,3.0,7.0,16.0,77.64052536493632
6.0,0.3933395055004906,0.0,2020.0,3.0,7.0,17.0,78.03386487043682
6.0,0.3933395055004906,0.0,2020.0,3.0,7.0,18.0,78.42720437593731
6.0,0.0,0.0,2020.0,3.0,7.0,19.0,78.42720437593731
6.0,0.0,0.0,2020.0,3.0,7.0,20.0,78.42720437593731
6.0,0.0,0.0,2020.0,3.0,7.0,21.0,78.42720437593731
6.0,0.0,0.0,2020.0,3.0,7.0,22.0,78.42720437593731
6.0,0.0,0.0,2020.0,3.0,7.0,23.0,78.42720437593731
7.0,0.0,0.0,2020.0,3.0,8.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,7.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,8.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,9.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,10.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,11.0,0.0
7.0,1.001426459985579,0.0,2020.0,3.0,8.0,12.0,1.001426459985579
7.0,3.1159336697909112,0.0,2020.0,3.0,8.0,13.0,4.117360129776491
7.0,3.1159336697909112,0.0,2020.0,3.0,8.0,14.0,7.233293799567401
7.0,4.188120769204518,0.0,2020.0,3.0,8.0,15.0,11.421414568771919
7.0,4.814425196671953,0.0,2020.0,3.0,8.0,16.0,16.235839765443874
7.0,2.203160234556128,0.0,2020.0,3.0,8.0,17.0,18.439
7.0,0.0,0.0,2020.0,3.0,8.0,18.0,18.439
7.0,0.550790058639032,0.0,2020.0,3.0,8.0,19.0,18.989790058639034
7.0,0.550790058639032,0.0,2020.0,3.0,8.0,20.0,19.540580117278065
7.0,0.0,0.0,2020.0,3.0,8.0,21.0,19.540580117278065
7.0,0.0,0.0,2020.0,3.0,8.0,22.0,19.540580117278065
7.0,0.0,0.0,2020.0,3.0,8.0,23.0,19.540580117278065
1.0,0.5427181646580513,1.0,2020.0,3.0,9.0,0.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,1.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,2.0,0.5427181646580513
1.0,0.0,1.0,2020.0,3.0,9.0,3.0,0.5427181646580513
1.0,2.964307520648479,1.0,2020.0,3.0,9.0,4.0,3.5070256853065302
1.0,9.835504354536248,1.0,2020.0,3.0,9.0,5.0,13.342530039842778
1.0,39.169301396427066,1.0,2020.0,3.0,9.0,6.0,52.511831436269844
1.0,85.90685771742322,1.0,2020.0,3.0,9.0,7.0,138.41868915369307
1.0,46.701596736609524,1.0,2020.0,3.0,9.0,8.0,185.1202858903026
1.0,84.14918068898528,1.0,2020.0,3.0,9.0,9.0,269.26946657928784
1.0,76.47232139679654,1.0,2020.0,3.0,9.0,10.0,345.7417879760844
1.0,75.42028915451526,1.0,2020.0,3.0,9.0,11.0,421.16207713059964
1.0,44.38866894941013,1.0,2020.0,3.0,9.0,12.0,465.5507460800098
1.0,41.668529551574224,1.0,2020.0,3.0,9.0,13.0,507.219275631584
1.0,39.442083726512486,1.0,2020.0,3.0,9.0,14.0,546.6613593580965
1.0,75.04450878599475,1.0,2020.0,3.0,9.0,15.0,621.7058681440913
1.0,86.32871815174333,1.0,2020.0,3.0,9.0,16.0,708.0345862958346
1.0,56.34069337269303,1.0,2020.0,3.0,9.0,17.0,764.3752796685276
1.0,3.550822106028135,1.0,2020.0,3.0,9.0,18.0,767.9261017745557
1.0,4.934317454774855,1.0,2020.0,3.0,9.0,19.0,772.8604192293307
1.0,5.043316435685176,1.0,2020.0,3.0,9.0,20.0,777.9037356650158
1.0,2.1708726586322054,1.0,2020.0,3.0,9.0,21.0,780.074608323648
1.0,4.7302766419526865,1.0,2020.0,3.0,9.0,22.0,784.8048849656006
1.0,2.1708726586322054,1.0,2020.0,3.0,9.0,23.0,786.9757576242329
2.0,2.1708726586322054,1.0,2020.0,3.0,10.0,0.0,2.1708726586322054
2.0,1.2837950448201711,1.0,2020.0,3.0,10.0,1.0,3.4546677034523765
2.0,1.9475165862736956,1.0,2020.0,3.0,10.0,2.0,5.402184289726073
2.0,1.9475165862736956,1.0,2020.0,3.0,10.0,3.0,7.349700875999767
2.0,5.217914739124772,1.0,2020.0,3.0,10.0,4.0,12.56761561512454
2.0,14.007654816592394,1.0,2020.0,3.0,10.0,5.0,26.575270431716934
2.0,38.83115604219409,1.0,2020.0,3.0,10.0,6.0,65.40642647391103
2.0,55.70972107579696,1.0,2020.0,3.0,10.0,7.0,121.11614754970799
2.0,46.888517920134944,1.0,2020.0,3.0,10.0,8.0,168.00466546984293
2.0,100.05399275805745,1.0,2020.0,3.0,10.0,9.0,268.05865822790037
2.0,82.04819220505034,1.0,2020.0,3.0,10.0,10.0,350.1068504329507
2.0,71.88992934745082,1.0,2020.0,3.0,10.0,11.0,421.99677978040154
2.0,53.46955143868065,1.0,2020.0,3.0,10.0,12.0,475.4663312190822
2.0,48.605340583781725,1.0,2020.0,3.0,10.0,13.0,524.0716718028639
2.0,49.93539080317392,1.0,2020.0,3.0,10.0,14.0,574.0070626060378
2.0,53.60375355492653,1.0,2020.0,3.0,10.0,15.0,627.6108161609643
2.0,50.00444179362211,1.0,2020.0,3.0,10.0,16.0,677.6152579545865
2.0,22.315162110001708,1.0,2020.0,3.0,10.0,17.0,699.9304200645881
2.0,18.4014782149629,1.0,2020.0,3.0,10.0,18.0,718.3318982795511
2.0,8.20844371224528,1.0,2020.0,3.0,10.0,19.0,726.5403419917964
2.0,0.0,1.0,2020.0,3.0,10.0,20.0,726.5403419917964
2.0,0.0,1.0,2020.0,3.0,10.0,21.0,726.5403419917964
2.0,2.05211092806132,1.0,2020.0,3.0,10.0,22.0,728.5924529198577
2.0,0.0,1.0,2020.0,3.0,10.0,23.0,728.5924529198577
3.0,0.5427181646580513,1.0,2020.0,3.0,11.0,0.0,0.5427181646580513
3.0,0.0,1.0,2020.0,3.0,11.0,1.0,0.5427181646580513
3.0,0.0,1.0,2020.0,3.0,11.0,2.0,0.5427181646580513
3.0,0.0,1.0,2020.0,3.0,11.0,3.0,0.5427181646580513
3.0,1.8026600215131408,1.0,2020.0,3.0,11.0,4.0,2.345378186171192
3.0,3.1281217186818218,1.0,2020.0,3.0,11.0,5.0,5.473499904853014
3.0,34.242100659480414,1.0,2020.0,3.0,11.0,6.0,39.71560056433343
3.0,41.35293968493376,1.0,2020.0,3.0,11.0,7.0,81.06854024926719
3.0,98.79409447120796,1.0,2020.0,3.0,11.0,8.0,179.86263472047514
3.0,85.72642045482367,1.0,2020.0,3.0,11.0,9.0,265.5890551752988
3.0,68.9305146712088,1.0,2020.0,3.0,11.0,10.0,334.5195698465076
3.0,51.39064699040146,1.0,2020.0,3.0,11.0,11.0,385.91021683690906
3.0,87.11325768405021,1.0,2020.0,3.0,11.0,12.0,473.02347452095927
3.0,71.88992934745082,1.0,2020.0,3.0,11.0,13.0,544.9134038684101
3.0,55.64366416002574,1.0,2020.0,3.0,11.0,14.0,600.5570680284359
3.0,65.73872720903888,1.0,2020.0,3.0,11.0,15.0,666.2957952374747
3.0,62.85338176197227,1.0,2020.0,3.0,11.0,16.0,729.149176999447
3.0,15.536561068525938,1.0,2020.0,3.0,11.0,17.0,744.6857380679729
3.0,13.995917247779442,1.0,2020.0,3.0,11.0,18.0,758.6816553157523
3.0,4.479040659986834,1.0,2020.0,3.0,11.0,19.0,763.1606959757393
3.0,17.232383049435377,1.0,2020.0,3.0,11.0,20.0,780.3930790251745
3.0,34.155664145922145,1.0,2020.0,3.0,11.0,21.0,814.5487431710967
3.0,12.724935606307806,1.0,2020.0,3.0,11.0,22.0,827.2736787774045
3.0,22.315162110001708,1.0,2020.0,3.0,11.0,23.0,849.5888408874063
4.0,8.792829554712302,1.0,2020.0,3.0,12.0,0.0,8.792829554712302
4.0,2.3657871255568166,1.0,2020.0,3.0,12.0,1.0,11.15861668026912
4.0,0.0,1.0,2020.0,3.0,12.0,2.0,11.15861668026912
4.0,0.0,1.0,2020.0,3.0,12.0,3.0,11.15861668026912
4.0,0.670318947514964,1.0,2020.0,3.0,12.0,4.0,11.828935627784082
4.0,3.32491871275659,1.0,2020.0,3.0,12.0,5.0,15.153854340540672
4.0,11.936851369456525,1.0,2020.0,3.0,12.0,6.0,27.0907057099972
4.0,24.52515221671952,1.0,2020.0,3.0,12.0,7.0,51.615857926716714
4.0,22.739375017227392,1.0,2020.0,3.0,12.0,8.0,74.35523294394412
4.0,27.72323399224903,1.0,2020.0,3.0,12.0,9.0,102.07846693619314
4.0,18.8547576279001,1.0,2020.0,3.0,12.0,10.0,120.93322456409324
4.0,20.406382605607806,1.0,2020.0,3.0,12.0,11.0,141.33960716970105
4.0,12.724053301463709,1.0,2020.0,3.0,12.0,12.0,154.06366047116475
4.0,14.268347045892021,1.0,2020.0,3.0,12.0,13.0,168.33200751705678
4.0,13.211313684441112,1.0,2020.0,3.0,12.0,14.0,181.5433212014979
4.0,21.311572597577754,1.0,2020.0,3.0,12.0,15.0,202.85489379907563
4.0,17.018736361718542,1.0,2020.0,3.0,12.0,16.0,219.8736301607942
4.0,16.310449905931748,1.0,2020.0,3.0,12.0,17.0,236.18408006672593
4.0,4.545234579052289,1.0,2020.0,3.0,12.0,18.0,240.72931464577823
4.0,2.3918340270789376,1.0,2020.0,3.0,12.0,19.0,243.12114867285715
4.0,6.502250960302938,1.0,2020.0,3.0,12.0,20.0,249.6233996331601
4.0,3.3716768048577563,1.0,2020.0,3.0,12.0,21.0,252.99507643801786
4.0,1.1661810837277624,1.0,2020.0,3.0,12.0,22.0,254.16125752174563
4.0,0.0,1.0,2020.0,3.0,12.0,23.0,254.16125752174563
5.0,0.6525547534192306,1.0,2020.0,3.0,13.0,0.0,0.6525547534192306
5.0,0.0,1.0,2020.0,3.0,13.0,1.0,0.6525547534192306
5.0,0.16313868835480766,1.0,2020.0,3.0,13.0,2.0,0.8156934417740382
5.0,0.0,1.0,2020.0,3.0,13.0,3.0,0.8156934417740382
5.0,0.0,1.0,2020.0,3.0,13.0,4.0,0.8156934417740382
5.0,0.0,1.0,2020.0,3.0,13.0,5.0,0.8156934417740382
5.0,6.274226086392492,1.0,2020.0,3.0,13.0,6.0,7.08991952816653
5.0,16.133671114987777,1.0,2020.0,3.0,13.0,7.0,23.223590643154306
5.0,29.263252584130367,1.0,2020.0,3.0,13.0,8.0,52.48684322728467
5.0,15.1485004807286,1.0,2020.0,3.0,13.0,9.0,67.63534370801327
5.0,18.68581638970748,1.0,2020.0,3.0,13.0,10.0,86.32116009772075
5.0,5.46018633932506,1.0,2020.0,3.0,13.0,11.0,91.78134643704581
5.0,4.034857738060782,1.0,2020.0,3.0,13.0,12.0,95.81620417510659
5.0,11.259557251384836,1.0,2020.0,3.0,13.0,13.0,107.07576142649143
5.0,18.339961865901586,1.0,2020.0,3.0,13.0,14.0,125.41572329239301
5.0,10.3979615356203,1.0,2020.0,3.0,13.0,15.0,135.81368482801332
5.0,4.342153188995701,1.0,2020.0,3.0,13.0,16.0,140.15583801700902
5.0,2.456216377476129,1.0,2020.0,3.0,13.0,17.0,142.61205439448514
5.0,2.4352516543011804,1.0,2020.0,3.0,13.0,18.0,145.04730604878634
5.0,1.296771505915392,1.0,2020.0,3.0,13.0,19.0,146.34407755470173
5.0,0.9330057900541431,1.0,2020.0,3.0,13.0,20.0,147.27708334475585
5.0,0.0,1.0,2020.0,3.0,13.0,21.0,147.27708334475585
5.0,0.0,1.0,2020.0,3.0,13.0,22.0,147.27708334475585
5.0,0.9330057900541431,1.0,2020.0,3.0,13.0,23.0,148.21008913481
6.0,0.0,0.0,2020.0,3.0,14.0,0.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,1.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,2.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,3.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,4.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,5.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,6.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,7.0,0.0
6.0,0.43310519269776804,0.0,2020.0,3.0,14.0,8.0,0.43310519269776804
6.0,1.7324207707910722,0.0,2020.0,3.0,14.0,9.0,2.1655259634888404
6.0,4.034035405704653,0.0,2020.0,3.0,14.0,10.0,6.199561369193494
6.0,6.293354969574026,0.0,2020.0,3.0,14.0,11.0,12.49291633876752
6.0,6.293354969574026,0.0,2020.0,3.0,14.0,12.0,18.786271308341547
6.0,6.649978323852608,0.0,2020.0,3.0,14.0,13.0,25.436249632194155
6.0,7.043143044682049,0.0,2020.0,3.0,14.0,14.0,32.4793926768762
6.0,6.424738821562891,0.0,2020.0,3.0,14.0,15.0,38.90413149843909
6.0,2.2897055300181086,0.0,2020.0,3.0,14.0,16.0,41.1938370284572
6.0,0.0,0.0,2020.0,3.0,14.0,17.0,41.1938370284572
6.0,0.0,0.0,2020.0,3.0,14.0,18.0,41.1938370284572
6.0,0.0,0.0,2020.0,3.0,14.0,19.0,41.1938370284572
6.0,0.0,0.0,2020.0,3.0,14.0,20.0,41.1938370284572
6.0,0.0,0.0,2020.0,3.0,14.0,21.0,41.1938370284572
6.0,0.0,0.0,2020.0,3.0,14.0,22.0,41.1938370284572
6.0,0.0,0.0,2020.0,3.0,14.0,23.0,41.1938370284572
7.0,0.0,0.0,2020.0,3.0,15.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,6.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,7.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,8.0,0.0
7.0,0.43310519269776804,0.0,2020.0,3.0,15.0,9.0,0.43310519269776804
7.0,0.43310519269776804,0.0,2020.0,3.0,15.0,10.0,0.8662103853955361
7.0,0.43310519269776804,0.0,2020.0,3.0,15.0,11.0,1.2993155780933041
7.0,2.2936900435087484,0.0,2020.0,3.0,15.0,12.0,3.5930056216020523
7.0,4.336713174702331,0.0,2020.0,3.0,15.0,13.0,7.929718796304384
7.0,4.852079938245124,0.0,2020.0,3.0,15.0,14.0,12.781798734549508
7.0,9.253060596601106,0.0,2020.0,3.0,15.0,15.0,22.034859331150614
7.0,2.17861108789525,0.0,2020.0,3.0,15.0,16.0,24.213470419045862
7.0,6.388109144799941,0.0,2020.0,3.0,15.0,17.0,30.601579563845803
7.0,1.506529073315284,0.0,2020.0,3.0,15.0,18.0,32.10810863716109
