Day of week,Energy,Week Day,Year,Month,Day of month,Hour,Sum
7.0,0.0,0.0,2020.0,3.0,1.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,1.0,6.0,0.0
7.0,12.682321239730376,0.0,2020.0,3.0,1.0,7.0,12.682321239730376
7.0,12.488662614408266,0.0,2020.0,3.0,1.0,8.0,25.17098385413864
7.0,18.550118214035344,0.0,2020.0,3.0,1.0,9.0,43.721102068173984
7.0,56.42757414182622,0.0,2020.0,3.0,1.0,10.0,100.1486762100002
7.0,68.33860356257806,0.0,2020.0,3.0,1.0,11.0,168.48727977257826
7.0,23.28693429700667,0.0,2020.0,3.0,1.0,12.0,191.77421406958493
7.0,90.93041942504388,0.0,2020.0,3.0,1.0,13.0,282.7046334946288
7.0,89.57035884901927,0.0,2020.0,3.0,1.0,14.0,372.2749923436481
7.0,99.76865148788187,0.0,2020.0,3.0,1.0,15.0,472.04364383152995
7.0,44.08824111201969,0.0,2020.0,3.0,1.0,16.0,516.1318849435496
7.0,28.69976083436594,0.0,2020.0,3.0,1.0,17.0,544.8316457779156
7.0,38.90054794678189,0.0,2020.0,3.0,1.0,18.0,583.7321937246975
7.0,32.120763801280034,0.0,2020.0,3.0,1.0,19.0,615.8529575259774
7.0,21.247587220227878,0.0,2020.0,3.0,1.0,20.0,637.1005447462054
7.0,2.3301913245546086,0.0,2020.0,3.0,1.0,21.0,639.43073607076
7.0,0.0,0.0,2020.0,3.0,1.0,22.0,639.43073607076
7.0,0.0,0.0,2020.0,3.0,1.0,23.0,639.43073607076
1.0,0.0,1.0,2020.0,3.0,2.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,2.0,3.0,0.0
1.0,0.3232776473836799,1.0,2020.0,3.0,2.0,4.0,0.3232776473836799
1.0,1.9503584352034826,1.0,2020.0,3.0,2.0,5.0,2.2736360825871627
1.0,4.308879940616095,1.0,2020.0,3.0,2.0,6.0,6.582516023203258
1.0,19.087729878116665,1.0,2020.0,3.0,2.0,7.0,25.670245901319923
1.0,25.76188586740174,1.0,2020.0,3.0,2.0,8.0,51.43213176872166
1.0,57.83039848755839,1.0,2020.0,3.0,2.0,9.0,109.26253025628006
1.0,64.40860101598045,1.0,2020.0,3.0,2.0,10.0,173.6711312722605
1.0,132.39130255107878,1.0,2020.0,3.0,2.0,11.0,306.0624338233393
1.0,68.9126754282433,1.0,2020.0,3.0,2.0,12.0,374.9751092515826
1.0,86.55316845159076,1.0,2020.0,3.0,2.0,13.0,461.52827770317333
1.0,68.34566709850309,1.0,2020.0,3.0,2.0,14.0,529.8739448016764
1.0,48.19813646602079,1.0,2020.0,3.0,2.0,15.0,578.0720812676973
1.0,84.73236296918859,1.0,2020.0,3.0,2.0,16.0,662.8044442368858
1.0,57.57356730906026,1.0,2020.0,3.0,2.0,17.0,720.378011545946
1.0,38.75705579609173,1.0,2020.0,3.0,2.0,18.0,759.1350673420378
1.0,40.157849364805216,1.0,2020.0,3.0,2.0,19.0,799.292916706843
1.0,20.28268003522848,1.0,2020.0,3.0,2.0,20.0,819.5755967420715
1.0,13.535025386145652,1.0,2020.0,3.0,2.0,21.0,833.1106221282172
1.0,4.3262058918744,1.0,2020.0,3.0,2.0,22.0,837.4368280200915
1.0,5.768274522499199,1.0,2020.0,3.0,2.0,23.0,843.2051025425908
2.0,1.0159633909137153,1.0,2020.0,3.0,3.0,0.0,1.0159633909137153
2.0,4.012428462387232,1.0,2020.0,3.0,3.0,1.0,5.028391853300947
2.0,5.669098909780893,1.0,2020.0,3.0,3.0,2.0,10.697490763081841
2.0,5.669098909780893,1.0,2020.0,3.0,3.0,3.0,16.366589672862734
2.0,0.7071428571428582,1.0,2020.0,3.0,3.0,4.0,17.073732530005593
2.0,13.79588083258522,1.0,2020.0,3.0,3.0,5.0,30.869613362590812
2.0,23.41836547765599,1.0,2020.0,3.0,3.0,6.0,54.2879788402468
2.0,22.50272860964325,1.0,2020.0,3.0,3.0,7.0,76.79070744989005
2.0,36.54954674541244,1.0,2020.0,3.0,3.0,8.0,113.34025419530249
2.0,71.83463177975631,1.0,2020.0,3.0,3.0,9.0,185.1748859750588
2.0,100.91211873051924,1.0,2020.0,3.0,3.0,10.0,286.087004705578
2.0,80.89724321494792,1.0,2020.0,3.0,3.0,11.0,366.98424792052595
2.0,90.3162959269054,1.0,2020.0,3.0,3.0,12.0,457.30054384743136
2.0,82.19760061687926,1.0,2020.0,3.0,3.0,13.0,539.4981444643106
2.0,71.32727421648022,1.0,2020.0,3.0,3.0,14.0,610.8254186807908
2.0,66.81214936980476,1.0,2020.0,3.0,3.0,15.0,677.6375680505956
2.0,70.517673700439,1.0,2020.0,3.0,3.0,16.0,748.1552417510346
2.0,77.54709391057075,1.0,2020.0,3.0,3.0,17.0,825.7023356616054
2.0,56.2152615361252,1.0,2020.0,3.0,3.0,18.0,881.9175971977305
2.0,67.99172433403209,1.0,2020.0,3.0,3.0,19.0,949.9093215317627
2.0,33.87580118453888,1.0,2020.0,3.0,3.0,20.0,983.7851227163015
2.0,33.240238636722474,1.0,2020.0,3.0,3.0,21.0,1017.025361353024
2.0,33.240238636722474,1.0,2020.0,3.0,3.0,22.0,1050.2655999897465
2.0,0.0,1.0,2020.0,3.0,3.0,23.0,1050.2655999897465
3.0,0.0,1.0,2020.0,3.0,4.0,0.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,1.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,2.0,0.0
3.0,0.0,1.0,2020.0,3.0,4.0,3.0,0.0
3.0,0.3181493299298011,1.0,2020.0,3.0,4.0,4.0,0.3181493299298011
3.0,7.988287544284665,1.0,2020.0,3.0,4.0,5.0,8.306436874214466
3.0,17.18955363207175,1.0,2020.0,3.0,4.0,6.0,25.495990506286216
3.0,33.87158283631787,1.0,2020.0,3.0,4.0,7.0,59.36757334260409
3.0,60.29082615008946,1.0,2020.0,3.0,4.0,8.0,119.65839949269355
3.0,91.63265570773032,1.0,2020.0,3.0,4.0,9.0,211.29105520042387
3.0,124.99068925377884,1.0,2020.0,3.0,4.0,10.0,336.2817444542027
3.0,123.3155963437454,1.0,2020.0,3.0,4.0,11.0,459.5973407979481
3.0,47.374241765530385,1.0,2020.0,3.0,4.0,12.0,506.9715825634785
3.0,82.6601575563569,1.0,2020.0,3.0,4.0,13.0,589.6317401198354
3.0,88.61999352670662,1.0,2020.0,3.0,4.0,14.0,678.251733646542
3.0,77.5587406954059,1.0,2020.0,3.0,4.0,15.0,755.810474341948
3.0,71.9677573267878,1.0,2020.0,3.0,4.0,16.0,827.7782316687358
3.0,69.77202361175094,1.0,2020.0,3.0,4.0,17.0,897.5502552804867
3.0,33.240238636722474,1.0,2020.0,3.0,4.0,18.0,930.7904939172091
3.0,49.257402487039634,1.0,2020.0,3.0,4.0,19.0,980.0478964042488
3.0,29.79640530484059,1.0,2020.0,3.0,4.0,20.0,1009.8443017090893
3.0,8.39908711966726,1.0,2020.0,3.0,4.0,21.0,1018.2433888287567
3.0,9.183778300275042,1.0,2020.0,3.0,4.0,22.0,1027.4271671290317
3.0,7.696906060632656,1.0,2020.0,3.0,4.0,23.0,1035.1240731896644
4.0,3.7458675496688474,1.0,2020.0,3.0,5.0,0.0,3.7458675496688474
4.0,0.0,1.0,2020.0,3.0,5.0,1.0,3.7458675496688474
4.0,1.0159633909137153,1.0,2020.0,3.0,5.0,2.0,4.761830940582563
4.0,0.0,1.0,2020.0,3.0,5.0,3.0,4.761830940582563
4.0,0.317986013986014,1.0,2020.0,3.0,5.0,4.0,5.079816954568576
4.0,12.671499576763267,1.0,2020.0,3.0,5.0,5.0,17.751316531331845
4.0,31.36388561332605,1.0,2020.0,3.0,5.0,6.0,49.11520214465789
4.0,32.4150149782716,1.0,2020.0,3.0,5.0,7.0,81.53021712292949
4.0,64.33111207374515,1.0,2020.0,3.0,5.0,8.0,145.86132919667463
4.0,93.0551063014095,1.0,2020.0,3.0,5.0,9.0,238.91643549808413
4.0,123.33108891535733,1.0,2020.0,3.0,5.0,10.0,362.24752441344145
4.0,118.16333720016416,1.0,2020.0,3.0,5.0,11.0,480.4108616136056
4.0,109.89155822033216,1.0,2020.0,3.0,5.0,12.0,590.3024198339377
4.0,83.51483385990771,1.0,2020.0,3.0,5.0,13.0,673.8172536938455
4.0,86.15896990157874,1.0,2020.0,3.0,5.0,14.0,759.9762235954242
4.0,103.65323902756376,1.0,2020.0,3.0,5.0,15.0,863.629462622988
4.0,83.1464782845979,1.0,2020.0,3.0,5.0,16.0,946.7759409075859
4.0,45.87808598812924,1.0,2020.0,3.0,5.0,17.0,992.6540268957151
4.0,35.76293286164124,1.0,2020.0,3.0,5.0,18.0,1028.4169597573564
4.0,59.16577638499644,1.0,2020.0,3.0,5.0,19.0,1087.5827361423528
4.0,59.31229800539633,1.0,2020.0,3.0,5.0,20.0,1146.8950341477491
4.0,39.13330578236503,1.0,2020.0,3.0,5.0,21.0,1186.0283399301143
4.0,12.52147459504987,1.0,2020.0,3.0,5.0,22.0,1198.549814525164
4.0,15.437315197947123,1.0,2020.0,3.0,5.0,23.0,1213.9871297231111
5.0,0.0,1.0,2020.0,3.0,6.0,0.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,1.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,2.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,3.0,0.0
5.0,0.0,1.0,2020.0,3.0,6.0,4.0,0.0
5.0,2.823635218681729,1.0,2020.0,3.0,6.0,5.0,2.823635218681729
5.0,15.92445717608447,1.0,2020.0,3.0,6.0,6.0,18.7480923947662
5.0,21.73296116836924,1.0,2020.0,3.0,6.0,7.0,40.48105356313544
5.0,55.16083360408065,1.0,2020.0,3.0,6.0,8.0,95.64188716721608
5.0,87.74544930611602,1.0,2020.0,3.0,6.0,9.0,183.3873364733321
5.0,20.124366293699556,1.0,2020.0,3.0,6.0,10.0,203.51170276703166
5.0,96.03919920656784,1.0,2020.0,3.0,6.0,11.0,299.5509019735995
5.0,91.439868836676,1.0,2020.0,3.0,6.0,12.0,390.99077081027554
5.0,71.36925124069309,1.0,2020.0,3.0,6.0,13.0,462.3600220509686
5.0,58.63780415349278,1.0,2020.0,3.0,6.0,14.0,520.9978262044614
5.0,58.52277428377016,1.0,2020.0,3.0,6.0,15.0,579.5206004882316
5.0,58.80585952140248,1.0,2020.0,3.0,6.0,16.0,638.326460009634
5.0,68.34566709850309,1.0,2020.0,3.0,6.0,17.0,706.6721271081371
5.0,73.70243472000477,1.0,2020.0,3.0,6.0,18.0,780.3745618281419
5.0,56.418440119083726,1.0,2020.0,3.0,6.0,19.0,836.7930019472255
5.0,55.62806222418237,1.0,2020.0,3.0,6.0,20.0,892.421064171408
5.0,41.51158605329076,1.0,2020.0,3.0,6.0,21.0,933.9326502246987
5.0,33.712021555998064,1.0,2020.0,3.0,6.0,22.0,967.6446717806969
5.0,33.712021555998064,1.0,2020.0,3.0,6.0,23.0,1001.3566933366949
6.0,0.0,0.0,2020.0,3.0,7.0,0.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,1.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,2.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,3.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,4.0,0.0
6.0,0.0,0.0,2020.0,3.0,7.0,5.0,0.0
6.0,3.864112516354123,0.0,2020.0,3.0,7.0,6.0,3.864112516354123
6.0,3.708887483645877,0.0,2020.0,3.0,7.0,7.0,7.573
6.0,2.8653241436810353,0.0,2020.0,3.0,7.0,8.0,10.438324143681035
6.0,20.98980895422793,0.0,2020.0,3.0,7.0,9.0,31.42813309790896
6.0,15.737462375300419,0.0,2020.0,3.0,7.0,10.0,47.165595473209386
6.0,35.35377988472769,0.0,2020.0,3.0,7.0,11.0,82.51937535793708
6.0,30.32690870900718,0.0,2020.0,3.0,7.0,12.0,112.84628406694426
6.0,79.56589022959731,0.0,2020.0,3.0,7.0,13.0,192.4121742965416
6.0,21.873371919521126,0.0,2020.0,3.0,7.0,14.0,214.2855462160627
6.0,55.662159891437845,0.0,2020.0,3.0,7.0,15.0,269.94770610750055
6.0,38.51747562611643,0.0,2020.0,3.0,7.0,16.0,308.465181733617
6.0,14.344856312361092,0.0,2020.0,3.0,7.0,17.0,322.81003804597805
6.0,76.80128060711093,0.0,2020.0,3.0,7.0,18.0,399.61131865308903
6.0,62.17809104626859,0.0,2020.0,3.0,7.0,19.0,461.7894096993576
6.0,44.32647641347722,0.0,2020.0,3.0,7.0,20.0,506.1158861128348
6.0,16.00590242818236,0.0,2020.0,3.0,7.0,21.0,522.1217885410172
6.0,9.147005945646326,0.0,2020.0,3.0,7.0,22.0,531.2687944866635
6.0,58.63780415349278,0.0,2020.0,3.0,7.0,23.0,589.9065986401563
7.0,0.0,0.0,2020.0,3.0,8.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,5.0,0.0
7.0,0.0,0.0,2020.0,3.0,8.0,6.0,0.0
7.0,3.379628041903871,0.0,2020.0,3.0,8.0,7.0,3.379628041903871
7.0,4.782977461432006,0.0,2020.0,3.0,8.0,8.0,8.162605503335877
7.0,25.23109279352792,0.0,2020.0,3.0,8.0,9.0,33.393698296863796
7.0,28.09146225491794,0.0,2020.0,3.0,8.0,10.0,61.48516055178173
7.0,47.54514612727582,0.0,2020.0,3.0,8.0,11.0,109.03030667905756
7.0,56.02957092688651,0.0,2020.0,3.0,8.0,12.0,165.05987760594405
7.0,58.55042052285196,0.0,2020.0,3.0,8.0,13.0,223.61029812879602
7.0,40.67951456893223,0.0,2020.0,3.0,8.0,14.0,264.2898126977283
7.0,16.507964279035367,0.0,2020.0,3.0,8.0,15.0,280.7977769767636
7.0,25.72995753647018,0.0,2020.0,3.0,8.0,16.0,306.5277345132338
7.0,39.35083614940134,0.0,2020.0,3.0,8.0,17.0,345.8785706626351
7.0,24.82006330079621,0.0,2020.0,3.0,8.0,18.0,370.69863396343135
7.0,21.198318687457775,0.0,2020.0,3.0,8.0,19.0,391.89695265088915
7.0,11.984444914722648,0.0,2020.0,3.0,8.0,20.0,403.8813975656118
7.0,14.344856312361093,0.0,2020.0,3.0,8.0,21.0,418.22625387797285
7.0,4.376172912259316,0.0,2020.0,3.0,8.0,22.0,422.6024267902322
7.0,17.51317823795917,0.0,2020.0,3.0,8.0,23.0,440.11560502819134
1.0,0.0,1.0,2020.0,3.0,9.0,0.0,0.0
1.0,0.0,1.0,2020.0,3.0,9.0,1.0,0.0
1.0,0.0,1.0,2020.0,3.0,9.0,2.0,0.0
1.0,0.0,1.0,2020.0,3.0,9.0,3.0,0.0
1.0,0.0,1.0,2020.0,3.0,9.0,4.0,0.0
1.0,8.446867883601989,1.0,2020.0,3.0,9.0,5.0,8.446867883601989
1.0,27.26636490016019,1.0,2020.0,3.0,9.0,6.0,35.71323278376218
1.0,28.92257019350519,1.0,2020.0,3.0,9.0,7.0,64.63580297726737
1.0,25.212253145781386,1.0,2020.0,3.0,9.0,8.0,89.84805612304876
1.0,123.71673347824014,1.0,2020.0,3.0,9.0,9.0,213.5647896012889
1.0,49.36738407364848,1.0,2020.0,3.0,9.0,10.0,262.9321736749374
1.0,108.04664573882536,1.0,2020.0,3.0,9.0,11.0,370.9788194137627
1.0,79.04188827703148,1.0,2020.0,3.0,9.0,12.0,450.0207076907942
1.0,100.97611386087054,1.0,2020.0,3.0,9.0,13.0,550.9968215516648
1.0,68.34566709850309,1.0,2020.0,3.0,9.0,14.0,619.3424886501679
1.0,91.44400790981136,1.0,2020.0,3.0,9.0,15.0,710.7864965599792
1.0,60.64915858481224,1.0,2020.0,3.0,9.0,16.0,771.4356551447914
1.0,40.885768174924095,1.0,2020.0,3.0,9.0,17.0,812.3214233197156
1.0,36.254603041637225,1.0,2020.0,3.0,9.0,18.0,848.5760263613528
1.0,34.99377465599753,1.0,2020.0,3.0,9.0,19.0,883.5698010173503
1.0,19.095134045482343,1.0,2020.0,3.0,9.0,20.0,902.6649350628327
1.0,13.7486318013471,1.0,2020.0,3.0,9.0,21.0,916.4135668641798
1.0,20.3283738265027,1.0,2020.0,3.0,9.0,22.0,936.7419406906824
1.0,0.0,1.0,2020.0,3.0,9.0,23.0,936.7419406906824
2.0,0.0,1.0,2020.0,3.0,10.0,0.0,0.0
2.0,0.0,1.0,2020.0,3.0,10.0,1.0,0.0
2.0,0.0,1.0,2020.0,3.0,10.0,2.0,0.0
2.0,0.0,1.0,2020.0,3.0,10.0,3.0,0.0
2.0,0.0,1.0,2020.0,3.0,10.0,4.0,0.0
2.0,4.325407903366691,1.0,2020.0,3.0,10.0,5.0,4.325407903366691
2.0,19.26813203812307,1.0,2020.0,3.0,10.0,6.0,23.593539941489762
2.0,8.695016454605318,1.0,2020.0,3.0,10.0,7.0,32.28855639609508
2.0,37.22013686204986,1.0,2020.0,3.0,10.0,8.0,69.50869325814494
2.0,104.61168824113504,1.0,2020.0,3.0,10.0,9.0,174.12038149927997
2.0,109.5954658059933,1.0,2020.0,3.0,10.0,10.0,283.7158473052733
2.0,21.19831868745777,1.0,2020.0,3.0,10.0,11.0,304.91416599273106
2.0,89.80105675430616,1.0,2020.0,3.0,10.0,12.0,394.7152227470372
2.0,115.17638850506266,1.0,2020.0,3.0,10.0,13.0,509.8916112520999
2.0,96.77721872187182,1.0,2020.0,3.0,10.0,14.0,606.6688299739717
2.0,80.79635943789746,1.0,2020.0,3.0,10.0,15.0,687.4651894118691
2.0,65.41772267563356,1.0,2020.0,3.0,10.0,16.0,752.8829120875027
2.0,68.2480551139303,1.0,2020.0,3.0,10.0,17.0,821.130967201433
2.0,67.23918853976323,1.0,2020.0,3.0,10.0,18.0,888.3701557411963
2.0,51.68191199584741,1.0,2020.0,3.0,10.0,19.0,940.0520677370437
2.0,40.99017970313925,1.0,2020.0,3.0,10.0,20.0,981.0422474401829
2.0,22.24341970532323,1.0,2020.0,3.0,10.0,21.0,1003.2856671455062
2.0,10.77032373093212,1.0,2020.0,3.0,10.0,22.0,1014.0559908764383
2.0,3.957190857497548,1.0,2020.0,3.0,10.0,23.0,1018.0131817339358
3.0,0.0,1.0,2020.0,3.0,11.0,0.0,0.0
3.0,1.2917967197769826,1.0,2020.0,3.0,11.0,1.0,1.2917967197769826
3.0,0.0,1.0,2020.0,3.0,11.0,2.0,1.2917967197769826
3.0,0.0,1.0,2020.0,3.0,11.0,3.0,1.2917967197769826
3.0,1.62413527604048,1.0,2020.0,3.0,11.0,4.0,2.9159319958174628
3.0,2.1711332007952286,1.0,2020.0,3.0,11.0,5.0,5.087065196612691
3.0,7.984370228310784,1.0,2020.0,3.0,11.0,6.0,13.071435424923475
3.0,9.59663923510303,1.0,2020.0,3.0,11.0,7.0,22.668074660026505
3.0,53.53216396729039,1.0,2020.0,3.0,11.0,8.0,76.20023862731689
3.0,68.32512590892617,1.0,2020.0,3.0,11.0,9.0,144.52536453624305
3.0,95.62869714583276,1.0,2020.0,3.0,11.0,10.0,240.15406168207582
3.0,99.67933717899004,1.0,2020.0,3.0,11.0,11.0,339.83339886106586
3.0,14.344856312361092,1.0,2020.0,3.0,11.0,12.0,354.178255173427
3.0,68.83560090731713,1.0,2020.0,3.0,11.0,13.0,423.01385608074406
3.0,68.78868473430758,1.0,2020.0,3.0,11.0,14.0,491.80254081505166
3.0,89.54250613885607,1.0,2020.0,3.0,11.0,15.0,581.3450469539077
3.0,85.75515753462028,1.0,2020.0,3.0,11.0,16.0,667.100204488528
3.0,68.34566709850309,1.0,2020.0,3.0,11.0,17.0,735.4458715870311
3.0,48.180036481415854,1.0,2020.0,3.0,11.0,18.0,783.625908068447
3.0,59.42455997456017,1.0,2020.0,3.0,11.0,19.0,843.0504680430071
3.0,35.178022097480294,1.0,2020.0,3.0,11.0,20.0,878.2284901404875
3.0,9.139003008696555,1.0,2020.0,3.0,11.0,21.0,887.3674931491839
3.0,2.9322024623803085,1.0,2020.0,3.0,11.0,22.0,890.2996956115643
3.0,41.198823193574384,1.0,2020.0,3.0,11.0,23.0,931.4985188051387
4.0,0.0,1.0,2020.0,3.0,12.0,0.0,0.0
4.0,0.0,1.0,2020.0,3.0,12.0,1.0,0.0
4.0,0.0,1.0,2020.0,3.0,12.0,2.0,0.0
4.0,0.0,1.0,2020.0,3.0,12.0,3.0,0.0
4.0,0.0,1.0,2020.0,3.0,12.0,4.0,0.0
4.0,2.532390623520458,1.0,2020.0,3.0,12.0,5.0,2.532390623520458
4.0,17.508085337569618,1.0,2020.0,3.0,12.0,6.0,20.040475961090074
4.0,32.4658873253576,1.0,2020.0,3.0,12.0,7.0,52.50636328644767
4.0,19.938539994199914,1.0,2020.0,3.0,12.0,8.0,72.4449032806476
4.0,77.37176660811957,1.0,2020.0,3.0,12.0,9.0,149.81666988876717
4.0,29.263731297601396,1.0,2020.0,3.0,12.0,10.0,179.08040118636856
4.0,98.10187860206352,1.0,2020.0,3.0,12.0,11.0,277.1822797884321
4.0,82.45234758945064,1.0,2020.0,3.0,12.0,12.0,359.63462737788274
4.0,30.869729377857404,1.0,2020.0,3.0,12.0,13.0,390.5043567557401
4.0,63.122796911257815,1.0,2020.0,3.0,12.0,14.0,453.62715366699797
4.0,63.267526968817656,1.0,2020.0,3.0,12.0,15.0,516.8946806358156
4.0,59.87179290498021,1.0,2020.0,3.0,12.0,16.0,576.7664735407958
4.0,44.50989456026995,1.0,2020.0,3.0,12.0,17.0,621.2763681010657
4.0,68.34566709850309,1.0,2020.0,3.0,12.0,18.0,689.6220351995688
4.0,61.151764469688935,1.0,2020.0,3.0,12.0,19.0,750.7737996692578
4.0,27.35605969414255,1.0,2020.0,3.0,12.0,20.0,778.1298593634003
4.0,17.574038141045513,1.0,2020.0,3.0,12.0,21.0,795.7038975044459
4.0,56.2152615361252,1.0,2020.0,3.0,12.0,22.0,851.919159040571
4.0,56.2152615361252,1.0,2020.0,3.0,12.0,23.0,908.1344205766962
5.0,0.0,1.0,2020.0,3.0,13.0,0.0,0.0
5.0,0.0,1.0,2020.0,3.0,13.0,1.0,0.0
5.0,0.0,1.0,2020.0,3.0,13.0,2.0,0.0
5.0,0.0,1.0,2020.0,3.0,13.0,3.0,0.0
5.0,0.0,1.0,2020.0,3.0,13.0,4.0,0.0
5.0,2.3376141859215527,1.0,2020.0,3.0,13.0,5.0,2.3376141859215527
5.0,6.276746970541206,1.0,2020.0,3.0,13.0,6.0,8.614361156462758
5.0,12.548860835079463,1.0,2020.0,3.0,13.0,7.0,21.163221991542223
5.0,10.698804537140425,1.0,2020.0,3.0,13.0,8.0,31.862026528682648
5.0,39.98836695908327,1.0,2020.0,3.0,13.0,9.0,71.85039348776593
5.0,44.228703501235536,1.0,2020.0,3.0,13.0,10.0,116.07909698900146
5.0,57.270520169975136,1.0,2020.0,3.0,13.0,11.0,173.3496171589766
5.0,59.74350754632149,1.0,2020.0,3.0,13.0,12.0,233.09312470529807
5.0,57.30526763225832,1.0,2020.0,3.0,13.0,13.0,290.3983923375564
5.0,39.240877468171696,1.0,2020.0,3.0,13.0,14.0,329.6392698057281
5.0,56.57344752447956,1.0,2020.0,3.0,13.0,15.0,386.2127173302077
5.0,14.344856312361092,1.0,2020.0,3.0,13.0,16.0,400.55757364256874
5.0,25.362633015491543,1.0,2020.0,3.0,13.0,17.0,425.9202066580603
5.0,29.889888394057,1.0,2020.0,3.0,13.0,18.0,455.8100950521173
5.0,43.15048745530259,1.0,2020.0,3.0,13.0,19.0,498.9605825074199
5.0,35.66779957233847,1.0,2020.0,3.0,13.0,20.0,534.6283820797584
5.0,9.810920876568789,1.0,2020.0,3.0,13.0,21.0,544.4393029563272
5.0,1.893501632208924,1.0,2020.0,3.0,13.0,22.0,546.3328045885361
5.0,27.29821701936281,1.0,2020.0,3.0,13.0,23.0,573.6310216078989
6.0,0.0,0.0,2020.0,3.0,14.0,0.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,1.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,2.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,3.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,4.0,0.0
6.0,0.0,0.0,2020.0,3.0,14.0,5.0,0.0
6.0,1.2085083301722674,0.0,2020.0,3.0,14.0,6.0,1.2085083301722674
6.0,3.8600531914893614,0.0,2020.0,3.0,14.0,7.0,5.068561521661628
6.0,2.7879331788806314,0.0,2020.0,3.0,14.0,8.0,7.85649470054226
6.0,9.837523192310751,0.0,2020.0,3.0,14.0,9.0,17.69401789285301
6.0,13.925131401872425,0.0,2020.0,3.0,14.0,10.0,31.61914929472544
6.0,21.9404420212104,0.0,2020.0,3.0,14.0,11.0,53.55959131593584
6.0,38.45642737256811,0.0,2020.0,3.0,14.0,12.0,92.01601868850395
6.0,45.40230336772617,0.0,2020.0,3.0,14.0,13.0,137.41832205623012
6.0,22.731909907401757,0.0,2020.0,3.0,14.0,14.0,160.15023196363188
6.0,29.511492240935024,0.0,2020.0,3.0,14.0,15.0,189.6617242045669
6.0,29.186293286323902,0.0,2020.0,3.0,14.0,16.0,218.8480174908908
6.0,28.770971469638354,0.0,2020.0,3.0,14.0,17.0,247.61898896052915
6.0,21.2272591015038,0.0,2020.0,3.0,14.0,18.0,268.84624806203294
6.0,13.82454665012954,0.0,2020.0,3.0,14.0,19.0,282.6707947121625
6.0,9.391761029390636,0.0,2020.0,3.0,14.0,20.0,292.0625557415531
6.0,2.1559565801309684,0.0,2020.0,3.0,14.0,21.0,294.2185123216841
6.0,0.0,0.0,2020.0,3.0,14.0,22.0,294.2185123216841
6.0,0.0,0.0,2020.0,3.0,14.0,23.0,294.2185123216841
7.0,0.0,0.0,2020.0,3.0,15.0,0.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,1.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,2.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,3.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,4.0,0.0
7.0,0.0,0.0,2020.0,3.0,15.0,5.0,0.0
7.0,0.023959073713172126,0.0,2020.0,3.0,15.0,6.0,0.023959073713172126
7.0,0.0958362948526885,0.0,2020.0,3.0,15.0,7.0,0.11979536856586064
7.0,10.517520589296176,0.0,2020.0,3.0,15.0,8.0,10.637315957862036
7.0,20.337547764233527,0.0,2020.0,3.0,15.0,9.0,30.974863722095563
7.0,12.07331861265415,0.0,2020.0,3.0,15.0,10.0,43.04818233474971
7.0,21.62644828578253,0.0,2020.0,3.0,15.0,11.0,64.67463062053224
7.0,18.02402029663795,0.0,2020.0,3.0,15.0,12.0,82.6986509171702
7.0,11.160030937528415,0.0,2020.0,3.0,15.0,13.0,93.8586818546986
7.0,14.562517484081392,0.0,2020.0,3.0,15.0,14.0,108.42119933878
7.0,6.18783547056321,0.0,2020.0,3.0,15.0,15.0,114.60903480934321
7.0,9.981363842558773,0.0,2020.0,3.0,15.0,16.0,124.59039865190198
